include,source,title,authors,url,doi
NO,zenodo,"""My naturesound"" - nature observations with sound recordings","- Runnel, Veljo
- Peterson, Marko
- Zirk, Allan",,10.3897/BDJ.5.e20200
NO,zenodo,"""The School Differently"" Learning about Marine Protected Areas - A Proactive Educational Approach Towards Implementation of Measures of Marine Habitats Conservation and Protection","- MENABIT, Selma
- MUREȘAN, Mihaela
- BEGUN, Tatiana
- PAVEL, Bianca
- SEGHEDI, Antoneta",,10.5281/zenodo.1689711
NO,google scholar,“Citizen Science”? Rethinking Science and Public Participation,BJ Strasser and J Baudry and D Mahr…,https://sciencetechnologystudies.journal.fi/article/view/60425,
NO,google scholar,“Openness” with and without Information Technology: a framework and a brief history,D Schlagwein and K Conboy and J Feller and JM Leimeister…,https://journals.sagepub.com/doi/abs/10.1057/s41265-017-0049-3,
NO,google scholar,1.2 Digitale Partizipation in Wissenschaft und Wirtschaft,JP Ferdinand and S Richter and S von Engelhardt,https://www.oapen.org/download?type=document&docid=1002178#page=25,
NO,zenodo,10 ideas to include the RRI perspective in STEM education,"- Couso, Digna
- Simarro, Cristina
- Perelló, Josep
- Bonhoure, Isabelle",,10.5281/zenodo.1303805
NO,zenodo,10 minutes on Blockchain for Architecture,"- Blümel, Ina",,10.5281/zenodo.2578010
NO,google scholar,10. Biohacking: Playing with technology,S de Smale,https://www.oapen.org/download?type=document&docid=1004135#page=196,
NO,google scholar,12th Annual Open and User Innovation Conference,CB HBS and KL HBS and ST HBS,https://pdfs.semanticscholar.org/c962/b229eb635e6ddce466bb02781638443a92a4.pdf,
NO,google scholar,12W DIY Research in the Psychonaut Subculture,J Söderberg,https://books.google.com/books?hl=es&lr=&id=kCkFDAAAQBAJ&oi=fnd&pg=PT395&dq=(%22open-source+hardware%22+OR+%22open-design+movement%22+OR+%22open+design%22+OR+%22open+hardware%22+OR+%22open+machine+design%22)+AND+(%22citizen+science%22+OR+%22community+science%22+OR+%22crowd+science%22+OR+%22crowd-sourced+science%22+OR+%22civic+science%22+OR+%22volunteer+monitoring%22)&ots=DCBSx5edKP&sig=IY9riF2b36z2cpqqKy9eMtpKMUA,
NO,google scholar,14. Responsible innovation and technology assessment in Europe: barriers and opportunities for establishing structures and principles of democratic science and …,L Hennen and L Nierling,https://books.google.com/books?hl=es&lr=&id=IiyjDwAAQBAJ&oi=fnd&pg=PA211&dq=(%22open-source+hardware%22+OR+%22open-design+movement%22+OR+%22open+design%22+OR+%22open+hardware%22+OR+%22open+machine+design%22)+AND+(%22citizen+science%22+OR+%22community+science%22+OR+%22crowd+science%22+OR+%22crowd-sourced+science%22+OR+%22civic+science%22+OR+%22volunteer+monitoring%22)&ots=h-IfIsvlWA&sig=JzL-qAxP4bSAsYex2wVaV3NjBhE,
NO,google scholar,2016 Box Turtle Conservation Workshop,M Allender,http://www.boxturtleconservation.org/abstracts_2016.html,
NO,google scholar,29 How knowledge infrastructures learn,GC Bowker,https://books.google.com/books?hl=es&lr=&id=P0QlDwAAQBAJ&oi=fnd&pg=PA391&dq=(%22open-source+hardware%22+OR+%22open-design+movement%22+OR+%22open+design%22+OR+%22open+hardware%22+OR+%22open+machine+design%22)+AND+(%22citizen+science%22+OR+%22community+science%22+OR+%22crowd+science%22+OR+%22crowd-sourced+science%22+OR+%22civic+science%22+OR+%22volunteer+monitoring%22)&ots=-ef5jwLNK1&sig=Hyb1b-j5YrfERterG4d3SXGuvZw,
NO,zenodo,"2nd EU BON Stakeholder Roundtable (Berlin, Germany): How can a European biodiversity network support citizen science?","- Vohland, Katrin
- Häuser, Christoph
- Regan, Eugenie
- Hoffmann, Anke
- Wetzel, Florian",,10.3897/rio.2.e8616
NO,google scholar,"3D Printing: Politics, Material Hacking And Grassroots",L Savvides,https://lra.le.ac.uk/handle/2381/43786,
NO,google scholar,4 Digital Social Innovation,U Holtgrewe and S Kroop and M Schwarz-Wölzl,https://www.siceurope.eu/sites/default/files/field/attachment/exploring_the_research_landscape_of_social_innovation.pdf#page=44,
NO,zenodo,4th European Biodiversity Observation Network (EU BON) Stakeholder Roundtable: Pathways to sustainability for EU BONs network of collaborators and technical infrastructure,"- Wetzel, Florian
- Despot Belmonte, Katherine
- Bingham, Heather
- Underwood, Evelyn
- Hoffmann, Anke
- Häuser, Christoph
- Mikolajczyk, Piotr
- Vohland, Katrin",,10.3897/rio.3.e11875
NO,google scholar,5. Defending territory: changing forms of intellectual protection,J Arrasvuori and L Liang and G Wen…,https://books.google.com/books?hl=es&lr=&id=QF8sDwAAQBAJ&oi=fnd&pg=PT95&dq=(%22open-source+hardware%22+OR+%22open-design+movement%22+OR+%22open+design%22+OR+%22open+hardware%22+OR+%22open+machine+design%22)+AND+(%22citizen+science%22+OR+%22community+science%22+OR+%22crowd+science%22+OR+%22crowd-sourced+science%22+OR+%22civic+science%22+OR+%22volunteer+monitoring%22)&ots=HJHsQjstzz&sig=0TmQzfmmF0GyFWkwghg4AuHQTyk,
NO,google scholar,7 Innovation for Every American,J Gustetic,https://direct.mit.edu/books/chapter-pdf/245844/9780262352598_cbj.pdf,
NO,google scholar,7. The ethics of the Maker Movement: the potentially good and the possibly terrible,D Koehn,https://books.google.com/books?hl=es&lr=&id=fbokCwAAQBAJ&oi=fnd&pg=PA137&dq=(%22open-source+hardware%22+OR+%22open-design+movement%22+OR+%22open+design%22+OR+%22open+hardware%22+OR+%22open+machine+design%22)+AND+(%22citizen+science%22+OR+%22community+science%22+OR+%22crowd+science%22+OR+%22crowd-sourced+science%22+OR+%22civic+science%22+OR+%22volunteer+monitoring%22)&ots=IIF5dzNw7R&sig=MAw5d_porMOj4FxtazKa8cq9ujk,
NO,google scholar,8. Emerging business models in frontier contexts,J Arrasvuori and P Yli-Viitala and A Kuusisto and J Christian,https://www.elgaronline.com/downloadpdf/9781783475513/chapter08.xhtml,
NO,zenodo,A Case for Open Science Hardware,"- Havemann, Johanna",,10.5281/zenodo.2564076
