include,order,title,abstract,author,url,eprint
NO,371,“Citizen Science”? Rethinking Science and Public Participation,"Page 1. 52 “Citizen Science”? Rethinking Science and Public Participation … University of Geneva,
Switzerland Abstract Since the late twentieth century, “citizen science” has become an increasingly
fashionable label for a growing number of participatory research activities … 
",BJ Strasser and J Baudry and D Mahr…,https://sciencetechnologystudies.journal.fi/article/view/60425,https://sciencetechnologystudies.journal.fi/article/view/60425/37504
NO,459,“Openness” with and without Information Technology: a framework and a brief history,"… Information technol- ogy (IT) now enables new open approaches for conducting research such
as citizen science (Levy and Germonprez, 2017; Wiggins … on models and users, their findings
help us to better understand the role and patterns of remixes in open design communities … 
",D Schlagwein and K Conboy and J Feller and JM Leimeister…,https://journals.sagepub.com/doi/abs/10.1057/s41265-017-0049-3,https://link.springer.com/content/pdf/10.1057/s41265-017-0049-3.pdf
NO,241,1.2 Digitale Partizipation in Wissenschaft und Wirtschaft,"… Diese Entwicklungen verdichten sich anschaulich bei der Produktion von Open-Source- Hardware
und den dabei erkennbaren … iit-Themenband–Digitale Souveränität 35 Citizen Science Citizen
Science ist eine neue, offene Wissenschaftsform, die insbesondere durch die … 
",JP Ferdinand and S Richter and S von Engelhardt,https://www.oapen.org/download?type=document&docid=1002178#page=25,https://www.oapen.org/download?type=document&docid=1002178#page=25
NO,137,10. Biohacking: Playing with technology,"… Keywords: Hacking, biotechnology, citizen science, open source, material- ity, objectivity On 8
October 2013, a group of artists, activists, and … or 'open wet labs,'and is facilitated through the
production of low cost laboratory equipment based on open source hardware (OSHW) … 
",S de Smale,https://www.oapen.org/download?type=document&docid=1004135#page=196,https://www.oapen.org/download?type=document&docid=1004135#page=196
NO,449,12th Annual Open and User Innovation Conference,"… Effects of Open Innovation on Value Creation and Value Capture in Multi-Sided Market Margherita
Pagani, Benassi Mario, Scheid François — 57 The 3D Printable: Private-Collective Innovation
in Open Design George Kuk — 58 CROWDFUNDING Wisdom or Madness … 
",CB HBS and KL HBS and ST HBS,https://pdfs.semanticscholar.org/c962/b229eb635e6ddce466bb02781638443a92a4.pdf,https://pdfs.semanticscholar.org/c962/b229eb635e6ddce466bb02781638443a92a4.pdf
NO,532,12W DIY Research in the Psychonaut Subculture,"… Oudshoorn and Pinch 2003; Hess 2005). These studies are paralleled by writings on free and
open source software development as a model of open innovation, practices that have recently
expanded to include open hardware development and open biology … 
",J Söderberg,https://books.google.com/books?hl=es&lr=&id=kCkFDAAAQBAJ&oi=fnd&pg=PT395&dq=(%22open-source+hardware%22+OR+%22open-design+movement%22+OR+%22open+design%22+OR+%22open+hardware%22+OR+%22open+machine+design%22)+AND+(%22citizen+science%22+OR+%22community+science%22+OR+%22crowd+science%22+OR+%22crowd-sourced+science%22+OR+%22civic+science%22+OR+%22volunteer+monitoring%22)&ots=DCBSx5edKP&sig=IY9riF2b36z2cpqqKy9eMtpKMUA,
NO,488,14. Responsible innovation and technology assessment in Europe: barriers and opportunities for establishing structures and principles of democratic science and …,"… such as user involvement and civil society organization (CSO) involvement in research and
innovation or citizen science (Hennen and … active involvement of users by applying approaches
such as participatory design, user centered design or open design (Chesbrough 2003) … 
",L Hennen and L Nierling,https://books.google.com/books?hl=es&lr=&id=IiyjDwAAQBAJ&oi=fnd&pg=PA211&dq=(%22open-source+hardware%22+OR+%22open-design+movement%22+OR+%22open+design%22+OR+%22open+hardware%22+OR+%22open+machine+design%22)+AND+(%22citizen+science%22+OR+%22community+science%22+OR+%22crowd+science%22+OR+%22crowd-sourced+science%22+OR+%22civic+science%22+OR+%22volunteer+monitoring%22)&ots=h-IfIsvlWA&sig=JzL-qAxP4bSAsYex2wVaV3NjBhE,
NO,455,2016 Box Turtle Conservation Workshop,"… J Wildl Dis. 2008;44:851-863. 5. van Dijk, PP, 2013. Terrapene carolina, In: IUCN Red List
of Threatened Species. An Open-source Hardware GPS Data Logger for Wildlife
Radio-telemetry Studies: a Case Study Using Eastern Box Turtles. Patrick W Cain … 
",M Allender,http://www.boxturtleconservation.org/abstracts_2016.html,http://www.boxturtleconservation.org/abstracts_2016.html
NO,316,29 How knowledge infrastructures learn,"… The core Public Lab program is focused on “civic science in which we research open source
hardware and software tools and methods to generate knowledge and share data about
community environmental health.” This is a genuinely new kind of knowledge production, which … 
",GC Bowker,https://books.google.com/books?hl=es&lr=&id=P0QlDwAAQBAJ&oi=fnd&pg=PA391&dq=(%22open-source+hardware%22+OR+%22open-design+movement%22+OR+%22open+design%22+OR+%22open+hardware%22+OR+%22open+machine+design%22)+AND+(%22citizen+science%22+OR+%22community+science%22+OR+%22crowd+science%22+OR+%22crowd-sourced+science%22+OR+%22civic+science%22+OR+%22volunteer+monitoring%22)&ots=-ef5jwLNK1&sig=Hyb1b-j5YrfERterG4d3SXGuvZw,
NO,566,"3D Printing: Politics, Material Hacking And Grassroots","… within Science and Technology Studies which is concerned with the emergence of citizen science
and civil society interventions in shaping technology … customization capabilities through open
design, under the license of free software (see Sells et. Al, 2010) … 
",L Savvides,https://lra.le.ac.uk/handle/2381/43786,https://lra.le.ac.uk/bitstream/2381/43786/1/2019SavvidesLeandrosPhD.pdf
