include,title,description,keywords,type,type_title,type_subtype,publication_date,conceptdoi,conceptrecid,doi,id,authors,language
NO,"""My naturesound"" - nature observations with sound recordings","Online systems for observation reporting by citizen scientists have been operating for many years. iNaturalist (California Academy of Sciences 2016), eBird (Cornell Lab of Ornithology 2016) and Observado (Observation International 2016) are well-known international systems, Artportalen (Swedish Species Information Centre 2016) and Artsobservasjoner (Norwegian Biodiversity Information Centre 2016) are Scandinavian. In addition, databases and online solutions exist that are more directly research-oriented but still offer participation by citizen scientists, such as the PlutoF (University of Tartu Natural History Museum 2016) platform. The University of Tartu Natural History Museum maintains the PlutoF platform (Abarenkov et al. 2010) for storing and managing biodiversity data, including taxon observations. In 2014, development was started to integrate an observation app ""Minu loodusheli""/""My naturesound"" (University of Tartu Natural History Museum 2017b) (My naturesound, Fig. 1) within PlutoF system. In 2017, an English language version of the app (University of Tartu Natural History Museum 2017c) was launched that includes nearly all major sound-producing taxon groups in its taxonomy. The application also acts as a practical tool for collecting and publishing occurrence data for the Global Biodiversity Information Facility (Global Biodiversity Information Facility 2017) in standardized Darwin Core format together with download links to the multimedia files. Although the sound recording ability of mobile phones opens new opportunities to validate taxon occurrences, current technological solutions limit the use of recordings in biodiversity research.

The ""My naturesound"" allows the user to record taxon occurrences and to provide audio recordings as evidence. After installing the application, the user is promted to login with PlutoF system credentials or to register with PlutoF. The application is targeted primarely to citizen scientists, but researchers themselves can also use it as a tool for easy annotation of taxon occurrences.

The dataset consists observation data of birds, amphibians and insects by citizen scientists with on site audio recordings. The dataset gives the possibility to analyze the suitablility of mobile devices for recording animal vocalizations and their use in reporting.","- occurrence data
- citizen science
- biodiversity
- sound recording
- audio
- multimedia
- mobile application
- Aves
- Orthoptera
- Amphibia",publication,Journal article,article,2017-10-20,,1115641,10.3897/BDJ.5.e20200,1115642,"- Runnel, Veljo
- Peterson, Marko
- Zirk, Allan",
NO,"""The School Differently"" Learning about Marine Protected Areas - A Proactive Educational Approach Towards Implementation of Measures of Marine Habitats Conservation and Protection","On the 5th of May and the 20th of June 2017, the NRDI GeoEcoMar received the visit of students of two elementary schools from Constanţa (“Ciprian Porumbescu” and “Mihail Koiciu”), which dedicated a day of “The school differently” week to awareness-raising and educational activities on marine protected areas. “The school differently” is part of a program developed within the Romanian Program of Education, in 2011. Under the supervision of biologists from NRDI GeoEcoMar, in collaboration with the PhD students from Belgium involved in the PRIDE project, a series of interactive and proactive activities were accomplished, aiming at foster a sense of community and environmental responsibility to the young generation. In total, 30 students of 5th grade, with ages between 11 and 12 years were involved. The children from “Ciprian Porumbescu” School learned how to identify species belonging to the Ponto-Caspian relicts, recognize and understand the negative impact of the invasive species on the Black Sea biodiversity. The children from Mihail Koiciu School, who visited the R/V Mare Nigrum (in custody of the NRDI GeoEcoMar) guided by the ship’s commander and biologists from GeoEcoMar, explored the complicated but interesting domain of marine science, helped by explanations and demonstrations on research work in biology and geochemistry. The feedback received from the children, assessed by help of questionnaires specially conceived for the targeted category of age and activities carried out, is presented in the paper. Judging after children’s reactions and responses to questionnaires, it makes sense to affirm that the activities achieved their scope
and these methods of education and awareness are positively perceived by the children from elementary schools.","- Black Sea marine protected areas
- ecological education
- field activities
- questionnaires",publication,Journal article,article,2017-12-31,10.5281/zenodo.1689710,1689710,10.5281/zenodo.1689711,1689711,"- MENABIT, Selma
- MUREȘAN, Mihaela
- BEGUN, Tatiana
- PAVEL, Bianca
- SEGHEDI, Antoneta",eng
NO,10 ideas to include the RRI perspective in STEM education,"The report includes in its first section RRI: A short introduction a brief summary about what RRI is and which are its antecedents. In the second section RRI in STEM education: What and why? a discus-sion about why including RRI perspective in STEM education is important and what implications would this new perspective imply. In the latter section, a more nuanced definition is proposed than is hitherto available of STEM education pillar. Finally, the last section 10 ideas to include the RRI perspective in STEM Education offers a useful guide of ten big ideas about how RRI perspective could be brought to STEM Education, considering the pillars and processes that characterize the RRI paradigm and linking these big ideas with the several methodologies in STEM education.","- RRI, stem education, citizen science, R&I, learning",publication,Report,report,2018-07-03,10.5281/zenodo.1303804,1303804,10.5281/zenodo.1303805,1303805,"- Couso, Digna
- Simarro, Cristina
- Perelló, Josep
- Bonhoure, Isabelle",eng
NO,10 minutes on Blockchain for Architecture,"Talk at SEED2019 conference - Co-create the future of science and blockchain technology, Davos, 25.-28.2.2019","- Architecture
- Construction
- Blockchain
- P2P
- Web3
- Decentralization
- Building Information Modeling
- Citizen Science",presentation,Presentation,,2019-02-26,10.5281/zenodo.2578009,2578009,10.5281/zenodo.2578010,2578010,"- Blümel, Ina",
NO,"2nd EU BON Stakeholder Roundtable (Berlin, Germany): How can a European biodiversity network support citizen science?","2nd EU BON Stakeholder Roundtable (Berlin, Germany): How can a European biodiversity network support citizen science?","- Citizen Science
- biodiversity data
- data quality
- Biodiversity Observation Networks
- EU BON
- research data
- European Citizen Science Association
- Citizen Science Observatories.",publication,Journal article,article,2016-03-24,,781060,10.3897/rio.2.e8616,575816,"- Vohland, Katrin
- Häuser, Christoph
- Regan, Eugenie
- Hoffmann, Anke
- Wetzel, Florian",
NO,4th European Biodiversity Observation Network (EU BON) Stakeholder Roundtable: Pathways to sustainability for EU BONs network of collaborators and technical infrastructure,"EU BON - Building the European Biodiversity Observation Network (www.eubon.eu) is a project funded under the EU FP7 framework. It presents an innovative approach towards the integration of biodiversity data and information systems, both from in-situ and remote sensing data sources. The aim is to address policy and information needs in a timely manner, customized for various stakeholders on different levels - from local test sites to European and international policy. The Stakeholder Roundtables are a specific task and part of a Work Package in the project (WP6) that focuses on the stakeholder engagement and the science-policy dialogue. The main aim of the Stakeholder Roundtables is to carry out regular engagement with relevant political authorities and other stakeholders at European and national level in support of the delivery of the EU BON project. Furthermore, the Roundtables seek to build up a stakeholder dialogue with exemplar sector-specific user communities to incorporate feedback loops for the products of EU BON (data, tools and models) as well as to develop improvements of existing biodiversity data workflows and to discuss sustainability issues.

The 4th EU BON Stakeholder Roundtable aimed to present current achievements and products of the project EU BON, which can be assigned to three categories: firstly to tools and infrastructure, secondly to the consortium and its network of collaborators and thirdly to (biodiversity) monitoring and scientific forecasting. The last Stakeholder Roundtable - in contrast to the former Roundtables which addressed European policy (Wetzel et al. 2016), citizen science and the EU BON citizen science gateway (Vohland et al. 2016, Runnel et al. 2016) and local research networks (Vohland et al. 2016b) – focused on sustainability issues of the different components of the European biodiversity observation network. The guiding question of the Roundtable was how to achieve sustainability for the products of EU BON after the project will end. It was also discussed what - among the many different products such as tools, software, scientific knowledge, models and infrastructure - are the most essential components of the project for the specific stakeholders (e.g. agencies, citizen science, researchers) and what is needed for the future (adjustments, sustainability for development, funding). One of the central questions was how the essential components could be sustained, by which institutions or networks and how they can be used in the best way for the European and national policy and research needs (e.g. monitoring, reporting) as well as for the global level (e.g. for the Group on Earth Observations, GEO). Finally, and not to forget, another essential aspect was how a European Biodiversity Network as a whole, with its different components, can be further sustained for fulfilling its goals as a central infrastructure for generating biodiversity data and information on a European scale. Here we report the outcomes and discussions of the meeting and also highlight the main messages.","- sustainability
- biodiversity infrastructure
- EU BON
- business plan
- products and tools
- biodiversity observation networks,",publication,Journal article,article,2017-01-24,,748172,10.3897/rio.3.e11875,259405,"- Wetzel, Florian
- Despot Belmonte, Katherine
- Bingham, Heather
- Underwood, Evelyn
- Hoffmann, Anke
- Häuser, Christoph
- Mikolajczyk, Piotr
- Vohland, Katrin",
NO,A Case for Open Science Hardware,"Presentation about Open Science Hardware held at the Berlin Open Science - Reproducible Research - Meetup on Feb 06, 2019.","- Open Science Hardware
- Open Source Hardware",presentation,Presentation,,2019-02-13,10.5281/zenodo.2564075,2564075,10.5281/zenodo.2564076,2564076,"- Havemann, Johanna",eng
NO,A crowdsourcing approach to collecting photo-based insect and plant observation records,"Scientific field observation by members of the public is known as citizen science and has become popular all across the world. Citizen science is advantageous for collecting large amounts of scientific data and can be seen as a crowdsourcing approach to data collection. Information and communications technology is enhancing the availability of citizen science. Mobile devices, such as mobile phones, that have a digital camera with a global positioning system (GPS) are necessities for contemporary life and can be utilised as powerful observation tools in citizen science.

A  web-based system has been developed as a data collection tool for citizen science. Participants submit an e-mail with a photo taken by their mobile phones. The photos contain location information, which can be easily and automatically embedded if the mobile phone is equipped with GPS. Collaboration has been undertaken with regional event managers, such as museum curators and held citizen science events in each region and for various target taxonomic groups. All photos were stored in the data server and the organisms were taxonomically identified by citizen scientists, regional managers and the authors. In total, 154 species and 843 data records were collected in this project conducted from 2011 to 2016.",- Citizen science; Mobile phone; Social networking system; Open data,publication,Journal article,article,2017-11-06,,1115663,10.3897/BDJ.5.e21271,1115664,"- Osawa, Takeshi
- Yamanaka, Takehiko
- Nakatani, Yukinobu
- Nishihiro, Jun
- Takahashi, Shiori
- Mahoro, Suzuki
- Sasaki, Hironobu",
NO,A data-driven approach for understanding Open Design. Mapping social interactions in collaborative processes on GitHub,"The development and adoption of digital technologies in the past decades has modified existing working conditions and introduced new ones in many fields and disciplines. This process has also influenced the field of Design especially with the Open Design and the Maker movements. The article proposes a software library for analysing networks of social interactions over time on Git projects hosted on GitHub. Such software may be useful for understanding social interactions over time on GitHub, enabling thus an overview of participation in collaborative processes and therefore advance our understanding of how platforms connects and influence makers and designers in their collaborative work on Open Design. The article show its application to three cases of (a) discussing the nature and concepts of Open Design, (b) teaching Open Design to interaction design students, (c) the development of a platform for Maker laboratories and Open Design projects.",,publication,Journal article,article,2017-09-06,,1183433,10.1080/14606925.2017.1352869,1183434,- Massimo Menichinelli,eng
NO,A database on the distribution of butterflies (Lepidoptera) in northern Belgium (Flanders and the Brussels Capital Region),"In this data paper, we describe two datasets derived from two sources, which collectively represent the most complete overview of butterflies in Flanders and the Brussels Capital Region (northern Belgium). The first dataset (further referred to as the INBO dataset – http://doi.org/10.15468/njgbmh) contains 761,660 records of 70 species and is compiled by the

Research Institute for Nature and Forest

(INBO) in cooperation with the Butterfly working group of Natuurpunt (Vlinderwerkgroep). It is derived from the database Vlinderdatabank at the INBO, which consists of (historical) collection and literature data (1830-2001), for which all butterfly specimens in institutional and available personal collections were digitized and all entomological and other relevant publications were checked for butterfly distribution data. It also contains observations and monitoring data for the period 1991-2014. The latter type were collected by a (small) butterfly monitoring network where butterflies were recorded using a standardized protocol. The second dataset (further referred to as the Natuurpunt dataset – http://doi.org/10.15468/ezfbee) contains 612,934 records of 63 species and is derived from the database http://waarnemingen.be, hosted at the nature conservation NGO Natuurpunt in collaboration with Stichting Natuurinformatie. This dataset contains butterfly observations by volunteers (citizen scientists), mainly since 2008. Together, these datasets currently contain a total of 1,374,594 records, which are georeferenced using the centroid of their respective 5 × 5 km²

Universal Transverse Mercator

(UTM) grid cell. Both datasets are published as open data and are available through the

Global Biodiversity Information Facility

(GBIF).","- Animalia
- Arthropoda
- Insecta
- Lepidoptera
- Butterflies
- distribution
- collection
- literature
- citizen science
- observations
- monitoring",publication,Journal article,article,2016-04-27,,635618,10.3897/zookeys.585.8019,53825,"- Maes, Dirk
- Vanreusel, Wouter
- Herremans, Marc
- Vantieghem, Pieter
- Brosens, Dimitri
- Gielen, Karin
- Beck, Olivier
- Van Dyck, Hans
- Desmet, Peter
- Natuurpunt, Vlinderwerkgroep",
NO,A decade of the India Biodiversity Portal: Planning ahead with technology to enhance citizen science participation in India,"The India Biodiversity Portal (IBP) was initiated a decade ago, aiming to aggregate data on all species within India. The portal has been running a citizen science module for the past 8 years, aggregating observation data from the general public. The portal runs many flagship citizen science campaigns, such as the Neighborhood Trees Campaign, National Moth Week, Spotting Alien Invasive species, Mapping Indian Snails and Slugs and Frogwatch. We have learnt valuable lessons in harnessing participation in citizen science, implementing functionality and in integrating technological advancements into the platform codebase. Following up on these, we are implementing new features that will streamline development, entice users and further spur participation. We discuss some of the proposed changes and our justification, including the impacts we expect in generating better citizen science data.

A key lesson arising out of our campaigns in remote regions of India, where internet penetration is relatively new, is that most users are connected to the web exclusively through a mobile device. Most do not have access to a personal computer or an email account. Yet they are internet savvy and use mobile applications to accomplish complex tasks such as banking activities, often logging in and being authenticated exclusively through a mobile number. We are implementing short-messaging-service (SMS) or one-time password-based login mechanisms, for login even without an email account for authentication. Although many initiatives have been investing in platform-specific mobile apps to cater to a growing mobile user community, maintaining and updating multiple mobile apps alongside enhancements to the web version is a resource-intensive task that most platforms cannot afford. Inconsistency in functions and usability across different versions of the same platform may lead to gaps in data collection. To address this challenge and streamline development, we have begun updating the portal codebase to enable Progressive Web Apps, which will replace conventional mobile applications while also serving as Single Page Applications that provide a unified experience across device platforms and alleviating the need for updating mobile apps separately.

For existing contributors on the portal, comparisons of their contributions against other users are a motivating factor to contribute further. Leaderboards and reputation systems are proven methods to promote activity and provide recognition to participants. Such leaderboards also incentivise newer participants to emulate leaders and climb the boards. We are building a reputation system that not only recognizes quantity but also the quality of the user's contribution. In addition, we are working on integrating intelligent push notification technology that will constantly engage users by keeping them abreast of activity related to content reflecting their interest on the portal. These features are expected to engage contributors and keep them motivated towards further data contributions.

Finally, the most rewarding outcome from contributing citizen science data is in visualizing its impact. The most obvious are improvements in species distribution maps that are generated for each species page on the portal. Users are greatly motivated by contributing data that may enhance known distributions and may constitute range extensions for a species. Distribution maps on the portal are being revamped so that information is presented to the user in real-time through visualisations that are are both attractive and easy to interpret. These will provide users with gratification and help spur participation further.

IBP is also instituting the ability to automate the classification of its data to identify publication-grade data. Through a combination of user's reputation and other data quality criteria, the data on IBP will be automatically graded, allowing such data to be pushed to Global Biodiversity Information Facility on a periodic basis as a Darwin Core Archive, contributing to global biodiversity data.","- citizen science
- technology
- participation
- biodiversity
- biodiversity data
- progressive web app
- reputation system
- leaderboards
- mobile application
- India
- India Biodiversity Portal",publication,Journal article,article,2019-06-19,,3257825,10.3897/biss.3.37202,3257826,"- Vattakaven, Thomas
- Surendran, Harikrishnan
- Rajagopal, Prabhakar",
